[28-Dec-2016 18:06:23 Asia/Irkutsk] PHP Warning:  mysqli_free_result() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 53
[28-Dec-2016 18:06:23 Asia/Irkutsk] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 45
[28-Dec-2016 18:06:23 Asia/Irkutsk] PHP Warning:  mysqli_free_result() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 53
[28-Dec-2016 18:06:23 Asia/Irkutsk] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 45
[28-Dec-2016 18:06:23 Asia/Irkutsk] PHP Warning:  mysqli_free_result() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 53
[28-Dec-2016 18:06:23 Asia/Irkutsk] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 45
[28-Dec-2016 18:06:23 Asia/Irkutsk] PHP Warning:  mysqli_free_result() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 53
[28-Dec-2016 18:06:23 Asia/Irkutsk] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 45
[28-Dec-2016 18:06:23 Asia/Irkutsk] PHP Warning:  mysqli_free_result() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 53
[28-Dec-2016 18:06:23 Asia/Irkutsk] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 45
[28-Dec-2016 18:06:23 Asia/Irkutsk] PHP Warning:  mysqli_free_result() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 53
[28-Dec-2016 18:06:23 Asia/Irkutsk] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 45
[28-Dec-2016 18:06:23 Asia/Irkutsk] PHP Warning:  mysqli_free_result() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 53
[28-Dec-2016 18:06:23 Asia/Irkutsk] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 45
[28-Dec-2016 18:06:23 Asia/Irkutsk] PHP Warning:  mysqli_free_result() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 53
[28-Dec-2016 18:06:23 Asia/Irkutsk] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 45
[28-Dec-2016 18:06:23 Asia/Irkutsk] PHP Warning:  mysqli_free_result() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 53
[28-Dec-2016 18:06:23 Asia/Irkutsk] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 45
[28-Dec-2016 18:06:23 Asia/Irkutsk] PHP Warning:  mysqli_free_result() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 53
[28-Dec-2016 18:06:23 Asia/Irkutsk] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 45
[28-Dec-2016 18:06:23 Asia/Irkutsk] PHP Warning:  mysqli_free_result() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 53
[28-Dec-2016 18:06:23 Asia/Irkutsk] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 45
[28-Dec-2016 18:06:23 Asia/Irkutsk] PHP Warning:  mysqli_free_result() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 53
[28-Dec-2016 18:06:23 Asia/Irkutsk] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 45
[28-Dec-2016 18:06:23 Asia/Irkutsk] PHP Warning:  mysqli_free_result() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 53
[28-Dec-2016 18:06:23 Asia/Irkutsk] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 45
[28-Dec-2016 18:06:23 Asia/Irkutsk] PHP Warning:  mysqli_free_result() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 53
[28-Dec-2016 18:06:23 Asia/Irkutsk] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 45
[28-Dec-2016 18:06:23 Asia/Irkutsk] PHP Warning:  mysqli_free_result() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 53
[28-Dec-2016 18:06:23 Asia/Irkutsk] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 45
[28-Dec-2016 18:06:23 Asia/Irkutsk] PHP Warning:  mysqli_free_result() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 53
[28-Dec-2016 18:06:23 Asia/Irkutsk] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 45
[28-Dec-2016 18:06:23 Asia/Irkutsk] PHP Warning:  mysqli_free_result() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 53
[28-Dec-2016 18:06:23 Asia/Irkutsk] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 45
[28-Dec-2016 18:06:23 Asia/Irkutsk] PHP Warning:  mysqli_free_result() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 53
[28-Dec-2016 18:06:23 Asia/Irkutsk] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 45
[28-Dec-2016 18:06:23 Asia/Irkutsk] PHP Warning:  mysqli_free_result() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 53
[28-Dec-2016 18:06:23 Asia/Irkutsk] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 45
[28-Dec-2016 18:06:23 Asia/Irkutsk] PHP Warning:  mysqli_free_result() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 53
[28-Dec-2016 18:06:23 Asia/Irkutsk] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 45
[28-Dec-2016 18:06:23 Asia/Irkutsk] PHP Warning:  mysqli_free_result() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 53
[28-Dec-2016 18:06:23 Asia/Irkutsk] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 45
[28-Dec-2016 18:06:23 Asia/Irkutsk] PHP Warning:  mysqli_free_result() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 53
[28-Dec-2016 18:06:23 Asia/Irkutsk] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 45
[28-Dec-2016 18:06:23 Asia/Irkutsk] PHP Warning:  mysqli_free_result() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 53
[28-Dec-2016 18:06:23 Asia/Irkutsk] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 45
[28-Dec-2016 18:06:23 Asia/Irkutsk] PHP Warning:  mysqli_free_result() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 53
[28-Dec-2016 18:06:23 Asia/Irkutsk] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 45
[28-Dec-2016 18:06:23 Asia/Irkutsk] PHP Warning:  mysqli_free_result() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 53
[28-Dec-2016 18:06:23 Asia/Irkutsk] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 45
[28-Dec-2016 18:06:23 Asia/Irkutsk] PHP Warning:  mysqli_free_result() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 53
[28-Dec-2016 18:06:23 Asia/Irkutsk] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 45
[28-Dec-2016 18:06:23 Asia/Irkutsk] PHP Warning:  mysqli_free_result() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 53
[28-Dec-2016 18:06:23 Asia/Irkutsk] PHP Notice:  Undefined variable: message in C:\Apache24\htdocs\inc\home.php on line 10
[28-Dec-2016 18:06:37 Asia/Irkutsk] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 45
[28-Dec-2016 18:06:37 Asia/Irkutsk] PHP Warning:  mysqli_free_result() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 53
[28-Dec-2016 18:06:37 Asia/Irkutsk] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 45
[28-Dec-2016 18:06:37 Asia/Irkutsk] PHP Warning:  mysqli_free_result() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 53
[28-Dec-2016 18:06:37 Asia/Irkutsk] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 45
[28-Dec-2016 18:06:37 Asia/Irkutsk] PHP Warning:  mysqli_free_result() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 53
[28-Dec-2016 18:06:37 Asia/Irkutsk] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 45
[28-Dec-2016 18:06:37 Asia/Irkutsk] PHP Warning:  mysqli_free_result() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 53
[28-Dec-2016 18:06:37 Asia/Irkutsk] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 45
[28-Dec-2016 18:06:37 Asia/Irkutsk] PHP Warning:  mysqli_free_result() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 53
[28-Dec-2016 18:06:37 Asia/Irkutsk] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 45
[28-Dec-2016 18:06:37 Asia/Irkutsk] PHP Warning:  mysqli_free_result() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 53
[28-Dec-2016 18:06:37 Asia/Irkutsk] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 45
[28-Dec-2016 18:06:37 Asia/Irkutsk] PHP Warning:  mysqli_free_result() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 53
[28-Dec-2016 18:06:37 Asia/Irkutsk] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 45
[28-Dec-2016 18:06:37 Asia/Irkutsk] PHP Warning:  mysqli_free_result() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 53
[28-Dec-2016 18:06:37 Asia/Irkutsk] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 45
[28-Dec-2016 18:06:37 Asia/Irkutsk] PHP Warning:  mysqli_free_result() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 53
[28-Dec-2016 18:06:37 Asia/Irkutsk] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 45
[28-Dec-2016 18:06:37 Asia/Irkutsk] PHP Warning:  mysqli_free_result() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 53
[28-Dec-2016 18:06:37 Asia/Irkutsk] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 45
[28-Dec-2016 18:06:37 Asia/Irkutsk] PHP Warning:  mysqli_free_result() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 53
[28-Dec-2016 18:06:37 Asia/Irkutsk] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 45
[28-Dec-2016 18:06:37 Asia/Irkutsk] PHP Warning:  mysqli_free_result() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 53
[28-Dec-2016 18:06:37 Asia/Irkutsk] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 45
[28-Dec-2016 18:06:37 Asia/Irkutsk] PHP Warning:  mysqli_free_result() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 53
[28-Dec-2016 18:06:37 Asia/Irkutsk] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 45
[28-Dec-2016 18:06:37 Asia/Irkutsk] PHP Warning:  mysqli_free_result() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 53
[28-Dec-2016 18:06:37 Asia/Irkutsk] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 45
[28-Dec-2016 18:06:37 Asia/Irkutsk] PHP Warning:  mysqli_free_result() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 53
[28-Dec-2016 18:06:37 Asia/Irkutsk] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 45
[28-Dec-2016 18:06:37 Asia/Irkutsk] PHP Warning:  mysqli_free_result() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 53
[28-Dec-2016 18:06:37 Asia/Irkutsk] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 45
[28-Dec-2016 18:06:37 Asia/Irkutsk] PHP Warning:  mysqli_free_result() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 53
[28-Dec-2016 18:06:37 Asia/Irkutsk] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 45
[28-Dec-2016 18:06:37 Asia/Irkutsk] PHP Warning:  mysqli_free_result() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 53
[28-Dec-2016 18:06:37 Asia/Irkutsk] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 45
[28-Dec-2016 18:06:37 Asia/Irkutsk] PHP Warning:  mysqli_free_result() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 53
[28-Dec-2016 18:06:37 Asia/Irkutsk] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 45
[28-Dec-2016 18:06:37 Asia/Irkutsk] PHP Warning:  mysqli_free_result() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 53
[28-Dec-2016 18:06:37 Asia/Irkutsk] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 45
[28-Dec-2016 18:06:37 Asia/Irkutsk] PHP Warning:  mysqli_free_result() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 53
[28-Dec-2016 18:06:37 Asia/Irkutsk] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 45
[28-Dec-2016 18:06:37 Asia/Irkutsk] PHP Warning:  mysqli_free_result() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 53
[28-Dec-2016 18:06:37 Asia/Irkutsk] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 45
[28-Dec-2016 18:06:37 Asia/Irkutsk] PHP Warning:  mysqli_free_result() expects parameter 1 to be mysqli_result, boolean given in C:\Apache24\htdocs\zapis\table_type_kab.php on line 53
